ncbi_taxon_id,presented_samples,nr_phenotypes,pct_of_all_samples,name,dblinks,files
6,3,1,0.008,Azorhizobium,[],[]
10,36,2,0.0959,Cellvibrio,[],[]
16,3,1,0.008,Methylophilus,[],[]
18,524,7,1.3955,Pelobacter,[],[]
20,469,8,1.249,Phenylobacterium,[],[]
22,410,6,1.0919,Shewanella,[],"['Shewanella_halifaxensis_HAW_EB4.mat', 'Shewanella_woodyi_ATCC_51908.mat']"
50,27,2,0.0719,Chondromyces,[],[]
53,332,1,0.8842,Nannocystis,[],[]
59,2,1,0.0053,Vitreoscilla,[],['Vitreoscilla_massiliensis_CSUR_P2036.mat']
64,8,2,0.0213,Herpetosiphon,[],[]
68,377,2,1.004,Lysobacter,[],[]
71,3,1,0.008,Simonsiella,[],[]
75,478,9,1.273,Caulobacter,"[{""url"":""http://mvp.medgenius.info/microbes/75/Caulobacter"",""dbtype"":""MVP"",""anno"":""assoc w/ 5 phage clusters""}]",[]
81,402,4,1.0706,Hyphomicrobium,[],[]
85,38,3,0.1012,Hyphomonas,[],[]
88,13,1,0.0346,Leptothrix,[],[]
93,433,3,1.1531,Stella,[],[]
101,56,1,0.1491,Flectobacillus,[],[]
105,3,1,0.008,Runella,[],[]
107,2,1,0.0053,Spirosoma,[],['Spirosoma_linguale_DSM_74.mat']
113,484,7,1.2889,Gemmata,[],['Gemmata_obscuriglobus_UQM_2246.mat']
123,455,5,1.2117,Pirellula,[],['Pirellula_staleyi_DSM_6068.mat']
127,31,1,0.0826,Isosphaera,[],[]
133,50,2,0.1332,Methylocystis,[],[]
157,554,9,1.4754,Treponema,[],"['Treponema_denticola_AL_2.mat', 'Treponema_denticola_ASLM.mat', 'Treponema_denticola_ATCC_33520.mat', 'Treponema_denticola_ATCC_33521.mat', 'Treponema_denticola_ATCC_35404.mat', 'Treponema_denticola_H_22.mat', 'Treponema_medium_ATCC_700293.mat', 'Treponema_socranskii_subsp_paredis_ATCC_35535.mat', 'Treponema_socranskii_subsp_socranskii_VPI_DR56BR1116_ATCC_35536.mat', 'Treponema_succinifaciens_DSM_2489.mat', 'Treponema_vincentii_ATCC_35580.mat', 'Treponema_vincentii_F0403.mat']"
171,2,1,0.0053,Leptospira,[],[]
187,27,6,0.0719,Aquaspirillum,[],[]
191,63,4,0.1678,Azospirillum,[],[]
