ncbi_taxon_id,presented_samples,nr_phenotypes,pct_of_all_samples,name,dblinks,ismarker,files
7,3,1,0.008,Azorhizobium caulinodans,[],0,[]
9,418,2,1.1132,Buchnera aphidicola,[],0,[]
17,3,1,0.008,Methylophilus methylotrophus,[],0,[]
19,338,1,0.9001,Pelobacter carbinolicus,[],0,[]
24,352,2,0.9374,Shewanella putrefaciens,"[{""anno"":""assoc w/ 1 phage clusters"",""dbtype"":""MVP"",""url"":""http://mvp.medgenius.info/microbes/24/Shewanella putrefaciens""}]",0,[]
51,27,2,0.0719,Chondromyces apiculatus,[],0,[]
72,3,1,0.008,Simonsiella muelleri,[],0,[]
83,4,1,0.0107,Hyphomicrobium vulgare,[],0,[]
94,37,2,0.0985,Stella humosa,[],0,[]
103,56,1,0.1491,Flectobacillus major,[],0,[]
106,41,2,0.1092,Runella slithyformis,[],0,[]
108,2,1,0.0053,Spirosoma linguale,[],0,['../AGORA-2.01\\reconstructions\\mat\\Spirosoma_linguale_DSM_74.mat']
114,484,7,1.2889,Gemmata obscuriglobus,[],0,['../AGORA-2.01\\reconstructions\\mat\\Gemmata_obscuriglobus_UQM_2246.mat']
119,38,3,0.1012,Rubinisphaera brasiliensis,[],0,[]
122,390,5,1.0386,Gimesia maris,[],0,[]
125,455,5,1.2117,Pirellula staleyi,[],0,['../AGORA-2.01\\reconstructions\\mat\\Pirellula_staleyi_DSM_6068.mat']
128,31,1,0.0826,Isosphaera pallida,[],0,[]
147,2,1,0.0053,Spirochaeta aurantia,[],0,[]
158,9,2,0.024,Treponema denticola,[],0,"['../AGORA-2.01\\reconstructions\\mat\\Treponema_denticola_AL_2.mat', '../AGORA-2.01\\reconstructions\\mat\\Treponema_denticola_ASLM.mat', '../AGORA-2.01\\reconstructions\\mat\\Treponema_denticola_ATCC_33520.mat', '../AGORA-2.01\\reconstructions\\mat\\Treponema_denticola_ATCC_33521.mat', '../AGORA-2.01\\reconstructions\\mat\\Treponema_denticola_ATCC_35404.mat', '../AGORA-2.01\\reconstructions\\mat\\Treponema_denticola_H_22.mat']"
160,50,1,0.1332,Treponema pallidum,[],0,[]
163,368,3,0.98,Treponema bryantii,[],0,[]
164,4,2,0.0107,Treponema pectinovorum,[],0,[]
167,492,6,1.3103,Treponema succinifaciens,[],0,['../AGORA-2.01\\reconstructions\\mat\\Treponema_succinifaciens_DSM_2489.mat']
189,9,1,0.024,Novispirillum itersonii,[],0,[]
190,26,6,0.0692,Aquaspirillum serpens,[],0,[]
193,8,3,0.0213,Azospirillum lipoferum,[],0,[]
195,7,2,0.0186,Campylobacter coli,"[{""url"":""http://mvp.medgenius.info/microbes/195/Campylobacter coli"",""dbtype"":""MVP"",""anno"":""assoc w/ 9 phage clusters""}]",0,"['../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1098.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_111_3.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1148.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_132_6.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1417.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_14983A.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_151_9.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1891.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1909.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1948.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1957.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_1961.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_202_04.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_2548.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_2553.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_2680.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_2685.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_2698.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_317_04.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_37_05.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_59_2.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_67_8.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_7_1.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_80352.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_84_2.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_86119.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_90_3.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_BFR_CA_9557.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_BIGS0003.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_H56.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_H6.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_H8.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_H9.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_JV20.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_LMG_23336.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_LMG_23341.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_LMG_23342.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_LMG_9853.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_LMG_9854.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_LMG_9860.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_RM2228.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_YH501.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_Z156.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_coli_Z163.mat']"
196,9,2,0.024,Campylobacter fetus,[],0,"['../AGORA-2.01\\reconstructions\\mat\\Campylobacter_fetus_subsp_fetus_006A_0073.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_fetus_subsp_fetus_82_40.mat', '../AGORA-2.01\\reconstructions\\mat\\Campylobacter_fetus_subsp_venerealis_NCTC_10354.mat']"
